heart_rate,rmssd,sdnn,emotion
128,19,15,ANXIOUS
95,14,16,ANXIOUS
104,17,35,STRESSED
62,47,53,CALM
67,62,87,CALM
68,47,36,NORMAL
101,26,23,STRESSED
66,42,75,CALM
68,53,61,NORMAL
61,61,54,CALM
82,46,47,NORMAL
84,11,19,STRESSED
78,37,44,NORMAL
70,64,60,CALM
116,11,22,ANXIOUS
89,19,35,ANXIOUS
95,20,19,ANXIOUS
85,35,55,NORMAL
59,56,54,CALM
118,10,10,ANXIOUS
99,19,21,ANXIOUS
97,14,11,ANXIOUS
71,64,45,CALM
124,22,17,ANXIOUS
84,49,53,CALM
101,21,10,ANXIOUS
126,12,27,ANXIOUS
109,31,35,STRESSED
93,16,31,STRESSED
119,16,16,ANXIOUS
83,30,28,STRESSED
89,41,30,STRESSED
93,44,86,NORMAL
63,32,52,NORMAL
78,31,28,NORMAL
82,35,44,NORMAL
95,12,11,STRESSED
50,61,43,CALM
122,15,17,ANXIOUS
120,14,10,ANXIOUS
77,60,53,NORMAL
88,33,25,STRESSED
66,79,36,CALM
94,46,60,NORMAL
99,37,28,STRESSED
56,36,79,CALM
76,30,61,NORMAL
74,34,70,NORMAL
69,35,51,NORMAL
74,67,68,CALM
91,18,20,ANXIOUS
51,69,80,CALM
118,18,10,ANXIOUS
89,22,15,ANXIOUS
80,5,18,ANXIOUS
113,18,26,ANXIOUS
81,30,56,NORMAL
80,60,63,CALM
105,19,25,ANXIOUS
109,15,16,ANXIOUS
79,27,47,NORMAL
58,59,82,CALM
99,31,42,STRESSED
62,53,65,CALM
114,16,22,ANXIOUS
71,45,52,NORMAL
71,56,72,CALM
113,16,38,ANXIOUS
90,18,15,STRESSED
105,12,12,ANXIOUS
117,19,17,ANXIOUS
64,60,28,CALM
101,28,30,STRESSED
88,25,41,NORMAL
87,40,69,NORMAL
99,24,21,STRESSED
112,14,18,ANXIOUS
70,60,56,CALM
62,52,54,CALM
116,18,16,ANXIOUS
64,25,58,NORMAL
64,58,60,CALM
69,72,61,CALM
83,46,10,NORMAL
125,25,17,ANXIOUS
114,25,22,ANXIOUS
69,50,81,CALM
111,25,17,ANXIOUS
87,49,72,NORMAL
98,34,23,STRESSED
75,45,80,NORMAL
100,15,20,ANXIOUS
83,42,53,NORMAL
73,71,79,CALM
82,62,71,CALM
120,11,21,ANXIOUS
101,11,34,ANXIOUS
79,16,35,STRESSED
73,49,99,CALM
91,26,43,STRESSED
72,63,84,CALM
108,18,10,ANXIOUS
100,12,17,ANXIOUS
99,44,20,STRESSED
95,14,21,ANXIOUS
75,67,90,CALM
100,13,34,STRESSED
123,12,25,ANXIOUS
117,10,30,ANXIOUS
105,14,18,ANXIOUS
77,40,54,NORMAL
105,9,14,ANXIOUS
70,63,71,CALM
71,70,72,CALM
105,5,27,ANXIOUS
63,34,39,NORMAL
99,19,36,ANXIOUS
97,9,17,ANXIOUS
104,20,45,STRESSED
102,25,25,ANXIOUS
76,40,54,NORMAL
95,17,51,NORMAL
91,37,37,NORMAL
102,24,33,STRESSED
84,59,63,NORMAL
107,10,18,ANXIOUS
103,18,15,ANXIOUS
110,29,19,STRESSED
113,13,29,ANXIOUS
67,35,55,NORMAL
58,56,50,CALM
62,48,74,CALM
59,63,80,CALM
94,52,38,NORMAL
59,67,84,CALM
99,16,17,STRESSED
80,39,58,NORMAL
82,22,47,NORMAL
108,27,25,STRESSED
56,59,94,CALM
85,39,29,STRESSED
59,48,53,NORMAL
91,51,27,NORMAL
86,33,30,STRESSED
114,13,18,ANXIOUS
84,27,46,STRESSED
71,40,70,NORMAL
113,17,16,ANXIOUS
66,29,57,NORMAL
91,24,51,NORMAL
81,18,15,STRESSED
82,32,41,NORMAL
130,9,32,ANXIOUS
89,41,68,NORMAL
75,63,91,CALM
61,52,52,CALM
119,24,24,ANXIOUS
55,41,72,CALM
53,65,73,CALM
64,54,43,CALM
70,67,75,CALM
130,6,30,ANXIOUS
53,63,83,CALM
75,58,98,CALM
84,13,35,STRESSED
119,10,31,ANXIOUS
103,21,10,ANXIOUS
92,37,62,NORMAL
115,18,27,ANXIOUS
75,27,40,NORMAL
73,5,26,STRESSED
98,37,39,STRESSED
89,21,13,STRESSED
53,56,65,CALM
64,54,56,CALM
70,57,79,CALM
94,36,59,NORMAL
87,27,27,STRESSED
91,29,48,NORMAL
89,54,62,NORMAL
110,38,39,STRESSED
79,61,102,CALM
77,65,84,CALM
60,47,42,NORMAL
130,14,22,ANXIOUS
107,26,39,STRESSED
98,13,11,ANXIOUS
91,36,60,NORMAL
95,41,37,STRESSED
81,34,49,NORMAL
71,40,39,NORMAL
55,66,60,CALM
76,60,44,NORMAL
52,55,65,CALM
72,78,71,CALM
52,57,75,CALM
63,57,73,CALM
78,34,41,NORMAL
71,16,48,NORMAL
113,16,10,ANXIOUS
97,19,12,ANXIOUS
69,58,79,CALM
111,18,22,ANXIOUS
100,15,11,STRESSED
86,21,38,STRESSED
55,57,54,CALM
87,17,40,STRESSED
112,31,41,STRESSED
65,74,75,CALM
97,30,23,NORMAL
96,13,51,STRESSED
112,22,10,ANXIOUS
89,36,42,NORMAL
89,44,61,NORMAL
71,42,85,CALM
107,17,21,ANXIOUS
110,8,27,ANXIOUS
72,45,51,NORMAL
110,17,23,ANXIOUS
79,29,67,NORMAL
110,18,20,ANXIOUS
70,65,91,CALM
98,32,24,STRESSED
93,32,44,STRESSED
96,18,34,STRESSED
59,42,60,CALM
71,32,66,NORMAL
97,12,10,ANXIOUS
87,23,21,NORMAL
73,59,35,NORMAL
72,63,68,CALM
67,41,48,NORMAL
117,11,23,ANXIOUS
105,7,28,STRESSED
68,75,93,CALM
108,21,15,ANXIOUS
89,50,77,NORMAL
70,42,62,CALM
69,48,61,NORMAL
98,26,14,STRESSED
70,45,24,NORMAL
91,18,50,STRESSED
122,13,19,ANXIOUS
130,22,10,ANXIOUS
106,26,29,STRESSED
78,44,34,NORMAL
79,48,75,CALM
112,9,25,ANXIOUS
81,48,49,CALM
70,57,37,CALM
111,20,22,ANXIOUS
89,56,49,NORMAL
87,15,30,ANXIOUS
109,13,14,ANXIOUS
118,19,22,ANXIOUS
58,61,61,CALM
67,69,62,CALM
118,19,10,ANXIOUS
101,23,23,STRESSED
74,48,70,CALM
79,17,42,NORMAL
65,47,78,CALM
61,54,66,CALM
101,32,12,STRESSED
99,9,21,ANXIOUS
65,22,66,NORMAL
76,18,91,NORMAL
99,32,35,STRESSED
87,31,33,STRESSED
57,73,73,CALM
110,25,22,STRESSED
93,34,41,STRESSED
92,21,40,STRESSED
126,19,13,ANXIOUS
65,62,66,CALM
54,39,65,NORMAL
98,28,38,STRESSED
62,71,98,CALM
111,18,13,ANXIOUS
105,21,13,ANXIOUS
62,50,44,CALM
79,71,50,CALM
110,16,17,ANXIOUS
84,60,58,NORMAL
115,12,25,ANXIOUS
75,52,57,CALM
89,25,37,STRESSED
114,7,30,ANXIOUS
112,19,25,ANXIOUS
68,39,52,NORMAL
85,55,38,NORMAL
89,38,82,NORMAL
67,41,59,CALM
98,41,28,NORMAL
73,31,86,NORMAL
50,76,46,CALM
108,9,11,ANXIOUS
59,65,40,CALM
119,11,17,ANXIOUS
70,59,71,CALM
94,29,25,STRESSED
116,15,12,ANXIOUS
61,51,70,NORMAL
83,36,54,NORMAL
84,39,65,NORMAL
118,6,10,ANXIOUS
101,25,45,NORMAL
105,29,20,STRESSED
66,42,10,NORMAL
95,24,43,STRESSED
71,36,66,NORMAL
113,22,18,ANXIOUS
70,58,63,CALM
50,59,50,CALM
75,44,36,NORMAL
63,67,36,CALM
66,7,70,NORMAL
108,5,10,ANXIOUS
80,25,42,NORMAL
112,19,28,ANXIOUS
103,19,37,STRESSED
80,26,30,STRESSED
95,16,11,ANXIOUS
104,14,29,STRESSED
113,17,24,ANXIOUS
87,73,55,CALM
109,18,45,STRESSED
100,28,37,STRESSED
71,53,96,CALM
64,74,100,CALM
55,44,61,CALM
119,9,31,ANXIOUS
67,73,51,CALM
77,40,60,NORMAL
121,17,14,ANXIOUS
77,30,89,NORMAL
103,38,10,STRESSED
87,17,10,ANXIOUS
71,62,84,CALM
80,33,59,NORMAL
71,66,72,CALM
76,63,52,CALM
68,54,77,CALM
65,44,58,NORMAL
58,46,68,CALM
119,10,22,ANXIOUS
112,10,29,ANXIOUS
75,56,36,NORMAL
59,53,53,CALM
75,55,77,CALM
61,62,75,CALM
91,19,29,STRESSED
99,15,20,ANXIOUS
75,61,69,CALM
119,17,33,ANXIOUS
70,52,41,NORMAL
89,21,36,STRESSED
68,24,25,NORMAL
108,22,20,ANXIOUS
102,14,14,ANXIOUS
80,44,47,NORMAL
76,31,19,STRESSED
115,5,23,ANXIOUS
98,18,21,STRESSED
96,32,22,STRESSED
55,71,85,CALM
94,21,65,NORMAL
60,65,65,CALM
115,11,16,ANXIOUS
105,32,27,STRESSED
65,79,78,CALM
119,9,10,ANXIOUS
61,63,78,CALM
87,15,47,NORMAL
83,36,30,NORMAL
106,34,18,STRESSED
99,24,16,ANXIOUS
88,13,26,STRESSED
70,78,82,CALM
123,5,27,ANXIOUS
112,10,26,ANXIOUS
51,42,89,CALM
88,14,35,STRESSED
79,64,57,CALM
57,63,99,CALM
51,65,72,CALM
115,18,26,ANXIOUS
85,20,36,STRESSED
98,34,24,STRESSED
92,23,25,STRESSED
64,36,81,CALM
109,17,27,ANXIOUS
65,48,49,NORMAL
64,62,74,CALM
68,46,29,NORMAL
58,53,70,CALM
75,31,37,NORMAL
57,64,100,CALM
85,25,39,STRESSED
104,33,19,STRESSED
67,77,72,CALM
115,7,17,ANXIOUS
109,5,19,ANXIOUS
76,80,92,CALM
108,12,24,ANXIOUS
61,28,40,NORMAL
64,61,78,CALM
91,34,31,STRESSED
54,59,67,CALM
65,62,65,CALM
63,43,84,CALM
100,33,42,STRESSED
65,46,32,NORMAL
92,41,54,NORMAL
76,32,32,NORMAL
71,60,73,CALM
93,41,42,NORMAL
100,16,10,ANXIOUS
74,41,49,NORMAL
65,61,49,CALM
72,50,76,CALM
55,53,85,CALM
107,20,11,ANXIOUS
101,19,18,STRESSED
66,61,65,CALM
125,12,29,ANXIOUS
102,31,35,STRESSED
88,5,41,STRESSED
127,17,30,ANXIOUS
65,55,83,CALM
66,48,52,NORMAL
76,32,34,STRESSED
86,11,26,STRESSED
71,43,67,CALM
80,45,67,NORMAL
111,16,16,ANXIOUS
71,56,83,CALM
62,60,89,CALM
73,35,52,NORMAL
100,21,28,STRESSED
69,45,66,CALM
98,24,36,STRESSED
91,20,20,STRESSED
101,30,27,STRESSED
66,42,41,NORMAL
63,39,46,CALM
52,57,70,CALM
81,35,47,STRESSED
102,14,20,STRESSED
112,17,14,ANXIOUS
94,15,29,STRESSED
119,15,11,ANXIOUS
71,16,26,STRESSED
87,18,33,STRESSED
114,10,10,ANXIOUS
75,66,67,CALM
114,23,15,ANXIOUS
68,72,55,CALM
57,71,104,CALM
105,23,36,STRESSED
53,55,60,CALM
100,17,27,ANXIOUS
69,38,38,NORMAL
107,18,27,ANXIOUS
99,17,31,STRESSED
96,24,20,ANXIOUS
79,38,76,NORMAL
64,69,88,CALM
129,15,19,ANXIOUS
77,38,43,NORMAL
65,51,84,CALM
93,11,17,ANXIOUS
104,38,14,STRESSED
110,17,24,STRESSED
72,39,41,NORMAL
78,76,97,CALM
77,57,65,CALM
72,64,69,NORMAL
78,45,46,NORMAL
71,50,56,NORMAL
92,32,35,STRESSED
68,67,32,CALM
97,36,40,STRESSED
100,29,38,STRESSED
106,19,37,STRESSED
99,34,84,NORMAL
84,39,33,STRESSED
100,24,30,ANXIOUS
67,48,70,CALM
66,48,75,CALM
79,42,80,NORMAL
57,61,62,CALM
96,29,43,NORMAL
114,10,28,ANXIOUS
125,15,44,ANXIOUS
54,54,73,CALM
76,29,61,NORMAL
87,45,27,NORMAL
56,68,31,CALM
57,50,69,CALM
79,64,53,NORMAL
119,12,19,ANXIOUS
98,18,34,STRESSED
110,18,10,ANXIOUS
60,39,72,CALM
63,72,76,CALM
60,62,73,CALM
64,26,71,NORMAL
63,71,83,CALM
67,57,66,CALM
67,34,40,CALM
64,61,80,CALM
83,35,65,NORMAL
97,44,29,NORMAL
62,43,52,CALM
109,16,21,ANXIOUS
105,23,26,STRESSED
79,37,27,STRESSED
88,34,36,STRESSED
114,21,10,ANXIOUS
106,23,18,STRESSED
101,29,30,NORMAL
110,22,23,ANXIOUS
82,46,14,NORMAL
60,53,84,CALM
101,24,37,STRESSED
66,47,89,CALM
99,16,21,ANXIOUS
83,47,29,NORMAL
107,10,24,ANXIOUS
74,48,56,CALM
107,15,24,ANXIOUS
100,13,29,STRESSED
89,47,40,NORMAL
97,30,18,STRESSED
58,60,86,CALM
91,19,15,STRESSED
94,27,39,STRESSED
100,27,34,STRESSED
105,23,47,STRESSED
74,34,81,NORMAL
50,61,70,CALM
110,13,19,ANXIOUS
56,50,68,CALM
62,70,65,CALM
50,43,78,CALM
105,30,31,STRESSED
65,30,55,NORMAL
130,9,23,ANXIOUS
73,54,77,CALM
83,41,38,NORMAL
70,44,61,NORMAL
113,17,12,ANXIOUS
96,21,26,ANXIOUS
65,58,88,CALM
95,26,48,STRESSED
66,60,92,CALM
97,35,31,STRESSED
87,53,59,NORMAL
111,11,13,ANXIOUS
79,54,53,NORMAL
90,50,44,NORMAL
67,48,29,NORMAL
85,33,60,NORMAL
74,41,23,NORMAL
63,49,70,CALM
110,23,15,ANXIOUS
66,26,34,STRESSED
94,36,28,STRESSED
102,24,37,STRESSED
116,21,24,ANXIOUS
85,25,19,STRESSED
97,20,30,STRESSED
120,17,17,ANXIOUS
97,31,34,STRESSED
106,19,16,ANXIOUS
89,22,42,STRESSED
108,17,25,ANXIOUS
63,70,89,CALM
63,68,90,CALM
90,28,49,NORMAL
87,48,27,NORMAL
68,25,45,NORMAL
118,15,32,ANXIOUS
62,59,60,CALM
96,23,40,STRESSED
115,19,12,ANXIOUS
70,53,54,CALM
87,28,27,STRESSED
82,18,12,STRESSED
71,45,88,CALM
124,17,22,ANXIOUS
67,68,42,CALM
130,12,15,ANXIOUS
109,23,30,ANXIOUS
62,38,64,NORMAL
101,19,46,STRESSED
58,60,85,CALM
103,18,32,ANXIOUS
75,30,37,STRESSED
55,67,66,CALM
64,56,71,CALM
76,54,59,CALM
100,33,23,STRESSED
123,13,10,ANXIOUS
119,21,37,STRESSED
99,19,22,STRESSED
124,20,10,ANXIOUS
102,21,22,STRESSED
75,65,74,CALM
63,44,70,CALM
118,15,10,ANXIOUS
54,50,76,CALM
68,48,74,NORMAL
75,41,36,CALM
58,48,69,CALM
84,51,64,NORMAL
130,16,20,ANXIOUS
96,7,16,ANXIOUS
71,30,45,NORMAL
94,31,34,STRESSED
120,13,10,ANXIOUS
114,18,27,ANXIOUS
81,40,32,NORMAL
70,65,71,CALM
106,21,17,ANXIOUS
100,21,31,STRESSED
92,39,46,STRESSED
77,31,10,NORMAL
62,56,81,CALM
63,32,54,NORMAL
107,23,27,STRESSED
85,25,31,STRESSED
88,49,13,NORMAL
63,46,78,CALM
76,52,19,NORMAL
86,19,13,ANXIOUS
91,23,34,STRESSED
90,44,49,NORMAL
58,51,65,CALM
56,70,66,CALM
90,37,41,NORMAL
68,21,75,NORMAL
120,17,10,ANXIOUS
76,65,46,CALM
101,30,20,STRESSED
79,20,21,STRESSED
96,33,46,STRESSED
101,28,14,STRESSED
113,12,25,ANXIOUS
67,67,69,CALM
74,33,59,NORMAL
85,29,47,NORMAL
64,63,76,CALM
105,17,12,ANXIOUS
110,23,29,STRESSED
65,62,76,CALM
76,72,66,NORMAL
107,33,21,STRESSED
53,51,91,CALM
82,45,61,NORMAL
111,17,26,STRESSED
102,18,21,ANXIOUS
81,51,61,NORMAL
105,10,28,ANXIOUS
76,59,54,NORMAL
79,31,68,NORMAL
76,26,55,NORMAL
55,60,65,CALM
68,32,37,NORMAL
58,60,51,CALM
93,36,47,STRESSED
50,57,58,CALM
96,10,26,ANXIOUS
71,50,67,CALM
111,15,14,ANXIOUS
91,20,51,NORMAL
91,23,13,STRESSED
76,18,33,STRESSED
74,20,51,NORMAL
86,40,24,NORMAL
72,43,71,CALM
64,25,16,NORMAL
66,67,89,CALM
73,66,59,CALM
64,49,68,CALM
68,71,87,CALM
95,23,46,STRESSED
97,11,20,STRESSED
82,42,53,NORMAL
126,8,10,ANXIOUS
99,16,33,STRESSED
98,8,35,STRESSED
77,51,39,NORMAL
79,50,54,NORMAL
92,28,10,STRESSED
50,60,49,CALM
100,19,21,ANXIOUS
78,44,65,NORMAL
111,12,15,ANXIOUS
50,65,62,CALM
105,26,45,STRESSED
91,44,50,NORMAL
77,42,34,NORMAL
50,66,86,CALM
103,18,28,ANXIOUS
86,33,70,NORMAL
111,19,18,ANXIOUS
74,45,30,NORMAL
65,59,28,NORMAL
118,22,22,ANXIOUS
112,18,17,ANXIOUS
82,73,88,CALM
73,67,79,CALM
75,69,78,CALM
119,18,16,ANXIOUS
93,12,30,ANXIOUS
87,6,34,STRESSED
67,60,66,CALM
80,23,28,STRESSED
77,34,47,NORMAL
88,24,45,STRESSED
97,26,15,STRESSED
83,58,77,CALM
109,12,28,ANXIOUS
93,22,28,STRESSED
85,33,64,NORMAL
69,19,20,NORMAL
69,34,46,NORMAL
94,24,38,STRESSED
86,29,32,STRESSED
90,23,30,STRESSED
119,13,10,ANXIOUS
67,38,58,CALM
65,59,59,CALM
68,21,40,NORMAL
91,13,27,STRESSED
59,52,49,CALM
118,18,19,STRESSED
69,45,53,CALM
115,11,13,ANXIOUS
114,19,14,ANXIOUS
73,41,49,NORMAL
90,9,51,STRESSED
109,25,19,ANXIOUS
80,19,54,NORMAL
59,62,82,CALM
65,57,67,CALM
114,14,18,ANXIOUS
68,74,78,CALM
81,51,77,NORMAL
69,50,38,NORMAL
57,48,69,CALM
94,29,39,STRESSED
106,20,14,ANXIOUS
106,15,24,ANXIOUS
71,37,68,NORMAL
56,52,45,CALM
77,51,80,CALM
111,12,20,ANXIOUS
57,79,49,CALM
73,65,50,CALM
70,38,31,NORMAL
107,6,26,ANXIOUS
56,59,70,CALM
108,14,35,ANXIOUS
113,13,23,ANXIOUS
120,10,20,ANXIOUS
121,19,21,ANXIOUS
85,18,31,NORMAL
92,25,33,STRESSED
76,53,43,NORMAL
93,5,18,STRESSED
96,48,71,NORMAL
102,23,16,STRESSED
67,28,59,NORMAL
71,29,45,NORMAL
72,65,73,CALM
55,68,53,CALM
83,35,46,NORMAL
65,63,70,CALM
66,55,71,CALM
106,17,41,STRESSED
53,64,61,CALM
77,50,32,NORMAL
101,29,29,STRESSED
64,55,76,CALM
93,19,30,STRESSED
72,35,83,NORMAL
62,66,88,CALM
74,36,43,NORMAL
91,29,21,STRESSED
81,37,72,NORMAL
119,9,21,ANXIOUS
105,24,27,STRESSED
61,53,50,CALM
92,31,26,NORMAL
76,42,51,NORMAL
88,27,26,STRESSED
105,20,13,ANXIOUS
86,5,35,STRESSED
108,34,20,STRESSED
60,60,74,CALM
86,22,53,NORMAL
83,30,20,NORMAL
50,75,70,CALM
75,35,31,NORMAL
71,73,67,CALM
86,44,25,NORMAL
81,27,45,NORMAL
91,46,33,NORMAL
120,10,22,ANXIOUS
103,27,20,STRESSED
115,14,12,ANXIOUS
78,69,54,CALM
78,19,42,NORMAL
97,30,22,STRESSED
81,24,55,NORMAL
75,66,84,CALM
53,69,50,CALM
108,23,22,ANXIOUS
103,29,36,STRESSED
76,49,54,CALM
116,19,32,ANXIOUS
104,18,25,ANXIOUS
78,10,29,STRESSED
67,62,69,CALM
94,28,42,STRESSED
86,40,95,CALM
78,54,34,NORMAL
76,15,39,STRESSED
90,45,56,NORMAL
65,57,79,CALM
96,30,30,NORMAL
65,59,85,CALM
103,18,19,ANXIOUS
80,41,49,NORMAL
63,54,58,CALM
117,14,25,ANXIOUS
106,33,25,STRESSED
74,33,48,NORMAL
102,27,49,STRESSED
84,38,57,NORMAL
107,11,21,ANXIOUS
59,70,76,CALM
94,26,25,STRESSED
127,25,15,ANXIOUS
74,65,69,CALM
100,15,14,ANXIOUS
66,49,65,CALM
115,8,23,ANXIOUS
99,37,49,NORMAL
113,13,14,ANXIOUS
70,66,72,CALM
100,18,22,ANXIOUS
90,27,27,STRESSED
113,21,12,STRESSED
88,71,78,CALM
99,30,30,STRESSED
130,25,25,ANXIOUS
91,12,20,STRESSED
99,25,34,STRESSED
72,49,66,CALM
119,5,17,ANXIOUS
71,63,30,CALM
63,67,80,CALM
97,21,30,STRESSED
56,89,77,CALM
95,9,12,ANXIOUS
69,64,60,CALM
55,64,93,CALM
82,60,76,CALM
67,48,67,NORMAL
71,58,116,CALM
116,21,30,ANXIOUS
101,5,24,ANXIOUS
96,20,22,STRESSED
129,17,28,ANXIOUS
106,23,10,ANXIOUS
107,10,10,ANXIOUS
87,15,37,STRESSED
82,36,47,NORMAL
87,37,28,STRESSED
81,31,71,NORMAL
71,72,92,CALM
78,39,65,CALM
99,13,15,ANXIOUS
66,59,67,CALM
74,31,25,NORMAL
92,16,23,STRESSED
87,5,16,STRESSED
87,15,13,ANXIOUS
122,11,17,ANXIOUS
104,23,19,ANXIOUS
88,42,25,STRESSED
98,29,33,STRESSED
61,61,49,CALM
99,26,15,ANXIOUS
82,43,29,NORMAL
63,49,55,NORMAL
65,69,76,CALM
89,18,10,ANXIOUS
87,10,11,ANXIOUS
92,18,38,STRESSED
92,22,39,STRESSED
101,18,10,ANXIOUS
83,17,20,STRESSED
100,20,33,STRESSED
65,42,61,NORMAL
101,18,15,ANXIOUS
84,51,75,CALM
92,18,36,STRESSED
79,31,34,NORMAL
116,5,31,ANXIOUS
67,69,69,CALM
81,61,62,NORMAL
90,23,30,ANXIOUS
85,34,73,NORMAL
56,44,65,NORMAL
66,55,75,CALM
58,66,60,CALM
69,57,65,CALM
93,34,51,NORMAL
71,22,40,NORMAL
76,67,76,CALM
88,65,35,NORMAL
83,22,17,STRESSED
70,66,41,CALM
93,26,39,STRESSED
93,43,94,NORMAL
96,9,15,ANXIOUS
65,59,81,CALM
114,14,25,ANXIOUS
114,14,10,ANXIOUS
69,33,44,NORMAL
59,72,47,CALM
71,62,62,CALM
100,13,10,ANXIOUS
106,11,38,STRESSED
102,20,24,STRESSED
69,52,78,CALM
78,55,69,CALM
85,39,56,NORMAL
50,53,57,CALM
50,61,94,CALM
89,26,68,NORMAL
103,25,12,STRESSED
78,63,64,CALM
86,17,36,STRESSED
130,6,24,ANXIOUS
112,16,29,ANXIOUS
117,11,10,ANXIOUS
113,6,10,ANXIOUS
91,34,26,STRESSED
83,27,26,STRESSED
90,28,59,NORMAL
90,20,44,STRESSED
88,31,44,NORMAL
121,10,14,ANXIOUS
80,50,40,NORMAL
56,66,83,CALM
103,18,11,ANXIOUS
71,70,61,CALM
84,41,47,NORMAL
105,16,15,ANXIOUS
100,24,20,STRESSED
116,19,15,ANXIOUS
128,22,31,ANXIOUS
98,26,22,STRESSED
74,43,76,NORMAL
108,11,24,ANXIOUS
94,17,37,STRESSED
102,17,34,STRESSED
83,47,42,NORMAL
113,5,10,ANXIOUS
60,62,97,CALM
69,34,62,NORMAL
92,32,27,STRESSED
56,44,74,CALM
